,Tweets
181,"Nikita Mirzani masih ditahan karena kasus pencemaran nama baik yang dilaporkan Dito Mahendra. Di sisi lain, sang an… https://t.co/Vg16wHRIVy"
182,Marshel Widianto belum lama ini disentil karena membuat video parodi Lion Air. Lelah Miskin Project pun meminta maa… https://t.co/ScigzfjYVD
183,El Rumi mengaku pernah punya 'bisnis haram' saat duduk di bangku sekolah. Begini ceritanya.  https://t.co/IQUG9dAiwT
184,Dua tragedi yang sama-sama merenggut nyawa ratusan orang terjadi di awal dan di penghujung bulan Oktober 2022 yakni… https://t.co/yQNCzN8hcd
185,KBRI Seoul menyampaikan ada 2 WNI menjadi korban tragedi halloween Itaewon. Dua WNI tersebut sempat dirawat di ruma… https://t.co/PGf7N3U8b2
186,"Sebuah bom meledak di stadion sepak bola dan kafe di tengah Kota Baghdad, Irak. Akibat kejadian ini 10 orang mening… https://t.co/7Ncj5AEgZ0"
187,Kemnaker tidak membenarkan tindakan manajemen Waroeng Spesial Sambal (SS) yang akan memotong gaji karyawan penerima… https://t.co/8uZDEo5sMk
188,Sekarang sudah banyak yang mengenalinya sebagai joki tong setan wanita. Hal itu berkat aksinya yang viral serta kea… https://t.co/kGprbJ8ZIy
189,Devi bersama rekannya juga kerap mendapat uang saweran dari para penonton yang hadir dan menyaksikan pertunjukan it… https://t.co/pLe8ftsZtY
190,"Untuk mengobati rasa rindunya, Devi mempunyai nama panggung Devi Makkey yang artinya ""Mamak Key"" yang diambil dari… https://t.co/5mJBc1d3Iz"
191,Devi sekarang tinggal di kontrakan dekat lokasi pasar malam. Tinggal jauh dari keluarga membuatnya merindukan anak… https://t.co/XyEP1nkXoj
192,"Ia pernah cedera bahu akibat terjatuh sampai salah satu kakinya memiliki bekas luka. Karenanya, Devi menekankan pen… https://t.co/ENKcGd6X7G"
193,Devi tampak sangat piawai berputar-putar dengan kecepatan mencapai 100km/jam di dalam tong setinggi 10 meter itu. B… https://t.co/y5swVU4Qgq
194,"Selain sebagai profesi, Devi melakukan atraksi ini juga untuk membuktikan kepada orang bahwa wanita itu tidak lemah… https://t.co/LcArExZzAs"
195,Devi mengasah kemampuannya dari satu pasar malam ke pasar malam lainnya. Ia saat ini beraksi di pasar malam kawasan… https://t.co/KWIPrfNmws
196,"Kamu sudah pernah lihat atraksi tong setan ini, detikers?"
197,"Tong setan, tong stand, atau roda gila (Inggris: wall of death) adalah wahana di pasar malam, yang mana sang joki m… https://t.co/nKVa8TE9LN"
198,"Perempuan asal Tebing Tinggi, Sumatera Utara ini melakoni profesi sebagai joki tong setan sejak tahun 2017 selepas… https://t.co/jWwN3cUmS0"
199,Devi Apriliani Lubis (23) sudah mendapatkan sorotan dari berbagai media internasional karena profesinya sebagai jok… https://t.co/hfHCzuWRoS
